Unit,Terminal,IP,MAC,Switch,Port,Power,Orion,Zabbix,VNC,Include,Rebooted
120_A,T14735,10.209.25.41,70:85:c2:df:49:2d,1,2,,View,View,Go,Yes,
120_A,T14729,10.209.25.42,9c:6b:00:04:ef:04,1,2,,View,View,Go,Yes,
120_B,T14699,10.209.25.45,70:85:c2:df:4a:73,2,3,,View,View,Go,Yes,
120_B,T14724,10.209.25.46,70:85:c2:df:48:9f,2,3,,View,View,Go,Yes,
240_A,T20863,10.209.25.47,a8:a1:59:5d:a5:89,3,2,,View,View,Go,Yes,
240_A,T14726,10.209.25.48,a8:a1:59:e5:f8:28,3,1,,View,View,Go,Yes,
240_B,T11154,10.209.25.51,70:85:c2:e9:50:27,4,2,2,View,View,Go,Yes,
240_B,T14738,10.209.25.54,9c:6b:00:04:e9:10,4,3,2,View,View,Go,Yes,
240_C,T14730,10.209.25.55,70:85:c2:df:48:e4,5,6,,View,View,Go,Yes,
240_C,T20888,10.209.25.58,a8:a1:59:5d:a7:e1,5,5,,View,View,Go,Yes,
240_D,T26184,10.209.25.61,a8:a1:59:e5:fa:45,6,7,,View,View,Go,Yes,
240_D,T14700,10.209.25.63,70:85:c2:df:49:e9,6,9,,View,View,Go,Yes,
60 Bed,t12633,10.209.25.67,70:85:c2:1c:28:31,7,4,,View,View,Go,Yes,
60 Bed,T14706,10.209.25.72,9c:6b:00:04:ec:bb,7,2,,View,View,Go,Yes,
80 Bed Lower,T17127,10.209.25.73,9c:6b:00:04:e7:da,8,6,,View,View,Go,Yes,
80 Bed Lower,T14643,10.209.25.77,70:85:c2:df:4a:1c,8,5,,View,View,Go,Yes,
80 Bed Upper,T14704,10.209.25.78,9c:6b:00:04:ea:26,9,7,,View,View,Go,Yes,
80 Bed Upper,T14707,10.209.25.82,9c:6b:00:04:ed:16,9,8,,View,View,Go,Yes,
Gym,T23095,10.209.25.85,70:85:c2:e6:1e:43,9,2,,View,View,Go,Yes,
